,Date,ActorID,Actor,Role(s),Film,Link,Born,Died,Birthplace,Deathplace,Children
0,1929-05-16,0,Emil Jannings,"Grand Duke Sergius Alexander, August Schilling","The Last Command, The Way of All Flesh",/wiki/Emil_Jannings,1884-07-23,1950-01-02,"Rorschach, Switzerland","Strobl, Allied-occupied Austria",1
1,1930-04-03,1,Warner Baxter,The Cisco Kid,In Old Arizona,/wiki/Warner_Baxter,1889-03-29,1951-05-07,"Columbus, Ohio, U.S.","Beverly Hills, California, U.S.",0
2,1930-11-05,2,George Arliss,Benjamin Disraeli,Disraeli,/wiki/George_Arliss,1868-04-10,1946-02-05,"London, England","London, England",0
3,1931-11-10,3,Lionel Barrymore,Stephen Ashe,A Free Soul,/wiki/Lionel_Barrymore,1878-04-28,1954-11-15,"Philadelphia, Pennsylvania, U.S.","Los Angeles, California, U.S.",2
4,1932-11-18,4,Wallace Beery,"Andy ""Champ"" Purcell",The Champ,/wiki/Wallace_Beery,1885-04-01,1949-04-15,"Clay County, Missouri, U.S.","Beverly Hills, California, U.S.",1
5,1932-11-18,5,Fredric March,Dr. Henry Jekyll / Mr. Edward Hyde,Dr. Jekyll and Mr. Hyde,/wiki/Fredric_March,1897-08-31,1975-04-14,"Racine, Wisconsin, U.S.","Los Angeles, California, U.S.",2
6,1934-03-16,6,Charles Laughton,King Henry VIII,The Private Life of Henry VIII,/wiki/Charles_Laughton,1899-07-01,1962-12-15,"Scarborough, North Riding of Yorkshire, England","Hollywood, California, U.S.",0
7,1935-02-27,7,Clark Gable,Peter Warne,It Happened One Night,/wiki/Clark_Gable,1901-02-01,1960-11-16,"Cadiz, Ohio, U.S.","Los Angeles, California, U.S.",2
8,1936-03-05,8,Victor McLaglen,Gypo Nolan,The Informer,/wiki/Victor_McLaglen,1886-12-10,1959-11-07,"Tunbridge Wells, Kent or Stepney, East London, U.K.","Newport Beach, California, U.S.",3
9,1937-03-04,9,Paul Muni,Louis Pasteur,The Story of Louis Pasteur,/wiki/Paul_Muni,1895-09-22,1967-08-25,"Lemberg, Austro-Hungarian Empire(now Lviv, Ukraine)","Montecito, California, U.S.",0
10,1938-03-10,10,Spencer Tracy,Manuel Fidello,Captains Courageous,/wiki/Spencer_Tracy,1900-04-05,1967-06-10,"Milwaukee, Wisconsin, U.S.","Beverly Hills, California, U.S.",2
11,1939-02-23,10,Spencer Tracy,Father Edward Flanagan,Boys Town,/wiki/Spencer_Tracy,1900-04-05,1967-06-10,"Milwaukee, Wisconsin, U.S.","Beverly Hills, California, U.S.",2
12,1940-02-29,11,Robert Donat,Charles Edward Chipping,"Goodbye, Mr. Chips",/wiki/Robert_Donat,1905-03-18,1958-06-09,"Withington, Manchester, England","London, England",3
13,1941-02-27,12,James Stewart,"Macaulay ""Mike"" Connor",The Philadelphia Story,/wiki/James_Stewart,1908-05-20,1997-07-02,"Indiana, Pennsylvania, U.S.","Beverly Hills, California, U.S.",4
14,1942-02-26,13,Gary Cooper,Sgt. Alvin York,Sergeant York,/wiki/Gary_Cooper,1901-05-07,1961-05-13,"Helena, Montana, U.S.","Los Angeles, California, U.S.",1
15,1943-03-04,14,James Cagney,George M. Cohan,Yankee Doodle Dandy,/wiki/James_Cagney,1899-07-17,1986-03-30,"New York City, U.S.","Stanford, New York, U.S.",2
16,1944-03-02,15,Paul Lukas,Kurt Muller,Watch on the Rhine,/wiki/Paul_Lukas,1894-05-26,1971-08-15,"Budapest, Austria-Hungary","Tangier, Morocco",0
17,1945-03-15,16,Bing Crosby,Father Chuck O'Malley,Going My Way,/wiki/Bing_Crosby,1903-05-03,1977-10-14,"Tacoma, Washington, U.S.","Alcobendas, Spain",7
18,1946-03-07,17,Ray Milland,Don Birnam,The Lost Weekend,/wiki/Ray_Milland,1907-01-03,1986-03-10,"Neath, Glamorgan, Wales","Torrance, California, U.S.",2
19,1947-03-13,5,Fredric March,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,/wiki/Fredric_March,1897-08-31,1975-04-14,"Racine, Wisconsin, U.S.","Los Angeles, California, U.S.",2
20,1948-03-20,18,Ronald Colman,Anthony John,A Double Life,/wiki/Ronald_Colman,1891-02-09,1958-05-19,"Richmond, Surrey, England, UK","Santa Barbara, California, US",1
21,1949-03-24,19,Laurence Olivier,"Hamlet, Prince of Denmark",Hamlet,/wiki/Laurence_Olivier,1907-05-22,1989-07-11,"Dorking, Surrey, England","Steyning, West Sussex, England",4
22,1950-03-23,20,Broderick Crawford,Willie Stark,All the King's Men,/wiki/Broderick_Crawford,1911-12-09,1986-04-26,"Philadelphia, Pennsylvania, U.S.","Rancho Mirage, California, U.S.",2
23,1951-03-29,21,José Ferrer,Cyrano de Bergerac,Cyrano de Bergerac,/wiki/Jos%C3%A9_Ferrer,1912-01-08,1992-01-26,"San Juan, Puerto Rico","Coral Gables, Florida, U.S.",6
24,1952-03-20,22,Humphrey Bogart,Charlie Allnut,The African Queen,/wiki/Humphrey_Bogart,1899-12-25,1957-01-14,"New York City, U.S.","Los Angeles, California, U.S.",2
25,1953-03-19,13,Gary Cooper,Marshal Will Kane,High Noon,/wiki/Gary_Cooper,1901-05-07,1961-05-13,"Helena, Montana, U.S.","Los Angeles, California, U.S.",1
26,1954-03-25,23,William Holden,Sgt. J.J. Sefton,Stalag 17,/wiki/William_Holden,1918-04-17,1981-11-12,"O'Fallon, Illinois, U.S.","Santa Monica, California, U.S.",4
27,1955-03-30,24,Marlon Brando,Terry Malloy,On the Waterfront,/wiki/Marlon_Brando,1924-04-03,2004-07-01,"Omaha, Nebraska, U.S.","Los Angeles, California",11
28,1956-03-21,25,Ernest Borgnine,Marty Piletti,Marty,/wiki/Ernest_Borgnine,1917-01-24,2012-07-08,"Hamden, Connecticut, U.S.","Los Angeles, California, U.S.",4
29,1957-03-27,26,Yul Brynner,King Mongkut of Siam,The King and I,/wiki/Yul_Brynner,1920-07-11,1985-10-10,"Vladivostok, Far Eastern Republic","New York City, U.S.",5
